order_id,user_id,order_time,product_id,quantity,revenue
1,2,2025-02-03 15:35:22,435,1,4498.66
2,3,2025-01-05 06:38:24,117,1,1496.44
3,8,2025-02-10 22:08:51,488,1,32780.58
4,10,2025-02-05 13:13:57,315,1,33862.07
5,12,2025-06-14 20:12:04,493,3,51830.88
6,15,2025-01-18 04:16:11,358,2,16075.36
7,15,2025-02-06 16:52:15,250,2,41601.96
8,18,2025-01-07 17:12:00,267,1,20054.79
9,18,2025-01-22 04:56:14,98,1,12583.05
10,19,2025-01-06 00:26:00,139,1,1008.61
11,19,2025-01-12 23:58:50,109,1,13239.59
12,19,2025-01-22 19:06:39,338,2,176257.5
13,19,2025-02-08 23:11:15,150,2,39612.3
14,23,2025-04-16 06:37:02,22,3,37771.14
15,23,2025-04-25 12:38:24,221,1,14298.27
16,25,2025-02-03 10:30:45,21,2,28332.0
17,25,2025-02-16 11:37:03,158,1,2196.76
18,31,2025-04-23 17:26:05,56,1,29155.33
19,33,2025-03-09 17:31:22,318,1,19551.59
20,39,2025-01-18 11:50:37,173,1,3095.58
21,42,2025-02-08 17:31:22,242,1,9285.39
22,43,2025-05-19 08:07:31,165,1,1732.53
23,45,2025-03-13 22:23:21,361,1,13985.68
24,47,2025-02-15 01:16:35,387,1,28854.36
25,48,2025-02-14 05:30:38,238,1,20295.06
26,53,2025-03-18 23:07:33,88,1,38903.03
27,53,2025-04-06 01:09:06,86,1,95739.09
28,54,2025-02-11 13:50:15,456,1,19874.65
29,55,2025-03-14 03:39:43,3,2,20189.34
30,57,2025-03-15 19:04:47,420,1,3770.66
31,58,2025-05-27 12:37:06,467,1,82011.77
32,62,2025-06-11 05:48:43,250,1,20800.98
33,63,2025-04-03 05:04:10,442,2,54055.28
34,63,2025-04-20 05:07:42,105,1,7627.67
35,64,2025-04-29 10:01:32,120,1,19023.98
36,65,2025-02-01 13:57:59,372,1,1314.03
37,70,2025-03-24 16:38:34,23,1,24086.36
38,72,2025-05-11 04:26:55,232,2,6427.8
39,74,2025-06-28 10:03:09,58,1,33150.95
40,83,2025-02-28 03:27:32,280,1,16802.32
41,87,2025-06-17 00:18:00,106,1,4353.63
42,94,2025-05-04 14:39:41,418,1,16621.38
43,94,2025-05-17 21:17:52,4,2,221973.92
44,95,2025-06-13 00:03:02,16,1,4159.96
45,102,2025-03-01 21:55:13,424,2,28340.3
46,104,2025-06-03 05:58:16,144,1,21135.77
47,105,2025-05-24 09:20:29,341,2,8933.94
48,105,2025-05-29 22:58:27,262,1,37057.19
49,106,2025-01-14 00:22:46,271,1,35581.83
50,110,2025-05-16 07:08:51,456,1,19874.65
51,119,2025-05-14 16:12:43,21,1,14166.0
52,124,2025-06-27 16:13:09,353,1,14609.61
53,130,2025-01-14 02:00:24,400,1,24109.01
54,132,2025-03-06 00:52:52,255,1,3001.4
55,139,2025-06-21 01:50:32,488,2,65561.16
56,139,2025-06-29 16:54:39,38,1,12400.94
57,141,2025-03-04 07:11:59,149,2,20632.22
58,141,2025-03-22 06:04:45,152,1,7223.67
59,142,2025-02-24 23:09:40,272,1,11789.2
60,144,2025-04-08 19:47:06,463,1,6385.22
61,151,2025-02-24 17:05:41,128,2,15161.9
62,152,2025-01-31 23:38:53,17,1,20450.91
63,159,2025-04-27 01:33:16,259,2,19098.98
64,162,2025-04-27 23:59:47,127,1,37875.42
65,163,2025-03-24 10:29:35,72,1,43803.67
66,166,2025-01-30 01:56:37,374,1,10459.29
67,166,2025-02-19 15:03:58,55,1,24029.51
68,166,2025-03-09 16:10:44,232,1,3213.9
69,168,2025-04-13 03:03:29,60,1,5108.13
70,170,2025-05-28 17:59:29,69,1,7709.45
71,173,2025-01-31 18:46:30,426,2,49446.32
72,175,2025-05-02 19:56:57,38,1,12400.94
73,182,2025-03-22 18:19:53,473,2,2148.98
74,185,2025-04-16 19:46:49,91,1,115829.28
75,199,2025-06-07 09:29:59,202,1,2128.85
76,201,2025-03-08 16:43:59,437,1,1479.71
77,201,2025-03-29 02:16:57,206,1,23007.56
78,204,2025-04-03 16:46:01,270,1,514.56
79,217,2025-01-28 01:13:08,291,1,1193.57
80,220,2025-03-02 06:39:34,96,1,1401.59
81,221,2025-06-20 23:33:38,480,1,35487.49
82,222,2025-05-12 04:15:05,81,1,47864.88
83,230,2025-04-15 12:13:57,219,2,5071.08
84,231,2025-06-08 11:10:28,141,2,156012.88
85,231,2025-06-14 18:09:48,415,1,4695.16
86,233,2025-05-02 21:53:22,437,1,1479.71
87,233,2025-05-11 16:37:24,235,1,42017.2
88,234,2025-06-28 11:06:36,46,1,115208.75
89,235,2025-01-01 23:26:32,330,1,3233.01
90,238,2025-06-12 19:19:25,466,1,31559.05
91,238,2025-06-22 00:58:18,238,1,20295.06
92,241,2025-04-04 12:24:26,345,1,24246.2
93,250,2025-04-24 09:20:38,287,1,5328.56
94,250,2025-05-23 11:01:08,427,2,8625.32
95,255,2025-06-20 20:13:37,158,2,4393.52
96,256,2025-02-08 23:29:11,369,1,14392.59
97,259,2025-05-30 22:04:39,61,1,102219.65
98,263,2025-04-03 21:08:13,432,2,33114.2
99,266,2025-02-21 11:46:34,131,2,20407.46
100,272,2025-05-08 08:24:48,224,1,14553.13
101,277,2025-05-20 04:55:24,487,2,34249.2
102,283,2025-04-16 15:00:42,263,1,38988.81
103,285,2025-04-22 04:25:45,74,1,24393.36
104,288,2025-02-19 05:44:38,299,2,18370.88
105,290,2025-01-13 14:32:58,434,1,94224.67
106,290,2025-01-18 12:19:14,188,2,1263.54
107,296,2025-05-07 14:55:39,276,1,4843.01
108,301,2025-05-30 23:03:30,353,1,14609.61
109,305,2025-06-26 02:10:00,212,1,105203.42
110,306,2025-01-08 17:30:14,382,1,17566.23
111,313,2025-05-11 22:33:04,173,2,6191.16
112,314,2025-04-12 21:19:59,426,1,24723.16
113,316,2025-04-18 06:51:58,77,1,70509.53
114,317,2025-01-27 19:35:13,84,1,2448.39
115,318,2025-05-26 11:46:11,252,1,5818.59
116,319,2025-06-28 02:20:44,243,1,2252.58
117,325,2025-04-05 10:45:20,146,1,9446.45
118,325,2025-04-12 08:12:41,43,2,23464.6
119,328,2025-02-14 04:07:12,283,2,77262.88
120,331,2025-05-15 02:14:57,460,2,82657.34
121,331,2025-06-11 18:13:12,478,1,37666.35
122,333,2025-03-13 20:46:41,247,1,9897.75
123,335,2025-03-22 01:40:20,267,1,20054.79
124,336,2025-04-04 13:47:34,127,1,37875.42
125,340,2025-05-15 19:36:11,130,2,32537.78
126,341,2025-05-25 00:56:17,470,1,1252.58
127,342,2025-05-13 12:50:43,16,2,8319.92
128,343,2025-01-21 16:25:03,4,1,110986.96
129,343,2025-01-27 06:03:20,298,1,12693.22
130,347,2025-03-15 08:27:57,353,1,14609.61
131,352,2025-02-14 04:20:34,58,1,33150.95
132,353,2025-02-27 13:08:34,427,1,4312.66
133,353,2025-03-21 09:01:28,95,1,14154.76
134,354,2025-04-18 08:14:37,492,1,8731.65
135,354,2025-05-11 02:57:33,430,2,49290.8
136,355,2025-04-01 17:48:55,63,1,8572.39
137,357,2025-04-03 22:31:56,314,1,6987.52
138,360,2025-03-31 05:55:01,467,1,82011.77
139,366,2025-06-09 05:55:35,195,1,17742.05
140,373,2025-05-11 22:56:12,441,1,1146.71
141,378,2025-06-19 12:00:27,168,1,9504.82
142,381,2025-03-25 22:39:14,127,1,37875.42
143,388,2025-06-28 23:45:16,382,1,17566.23
144,389,2025-01-13 15:55:10,189,2,19184.4
145,389,2025-01-25 04:22:24,197,1,1108.19
